No.,Bangla Emails,Label
1,"  COVID-19 মহামারী তিন দশকের মধ্যে টিকাদানের ক্ষেত্রে সবচেয়ে বড় পশ্চাদপসরণ ঘটায়
 WHO এবং UNICEF শঙ্কা বাজিয়েছে কারণ নতুন ডেটা দেখায় যে 2021 সালে বিশ্বব্যাপী টিকাদানের কভারেজ ক্রমাগত হ্রাস পেয়েছে, 25 মিলিয়ন শিশু জীবন রক্ষাকারী টিকা থেকে বাদ পড়েছে",4
2,  UGV প্রোগ্রামিং ক্লাব সদস্যতা আপডেট,3
3,  UGV প্রোগ্রামিং ক্লাব সদস্যতা আপডেট,3
4," ""প্রজেক্ট ম্যানেজমেন্ট শিখুন ফাউন্ডই
Bdjobs eLearning <host@bdjobsemail.com>""",1
5, [GitHub] আপনার ব্যক্তিগত অ্যাক্সেস টোকেনের মেয়াদ শেষ হয়ে গেছে,3
6, ‘‘৪ মাস আগে কোভিড ভ্যাকসিনের ২য় ডোজ নিয়ে থাকলে নিকটস্থ টিকা কেন্দ্রে কোভিড ভ্যাকসিনের তৃতীয় বা বুস্টার ডোজ গ্রহণ করুন।-স্বাস্থ্য ,3
7, ২ মাসে সি ও সি++ শিখুন।,4
8," ৬৪ জেলার ১০,০০০+ রেস্টুরেন্ট!? 🤯",0
9, ৯০% জেতার সুযোগ শেষ হচ্ছে আজই ।,4
10, app ব্যাবহার করে কেনাকাটায়  পাবেন ক্যাশব্যাক। ,4
11," Doan Tপ্রাসঙ্গিকh দ্বারা ""ASP.NET ডেভেলপারদের জন্য কঠিন নীতি এবং ডিজাইন প্যাটার্নের শুরু""",3
12," Doan Tপ্রাসঙ্গিকh দ্বারা ""ASP.NET ডেভেলপারদের জন্য কঠিন নীতি এবং ডিজাইন প্যাটার্নের শুরু""",3
13," Doan Tপ্রাসঙ্গিকh দ্বারা ""ASP.NET ডেভেলপারদের জন্য কঠিন নীতি এবং ডিজাইন প্যাটার্নের শুরু""",3
14, Google-এর ব্যবহার করতে আপনার Galaxy A7 (2016) ডিভাইস সেট-আপ করা সম্পূর্ণ করুন,3
15," xodo - পিডিএফ পড়ার জন্য, এটা খুব সুন্দর এবং সহজ একটা app।",3
16," xodo - পিডিএফ পড়ার জন্য, এটা খুব সুন্দর এবং সহজ একটা app।",3
17, অভিনন্দন! আপনার স্পোকেন ইংলিশ আবেদনকৃত কোর্স টি চালু হয়েছে।,3
18, আজ বিশ্ব পরিবেশ দিবস,0
19, আদমশুমারিতে পুরুষের থেকে নারীর সংখ্যা বেশি,3
20, আপনার Gmail এর পাসওয়ার্ড রিসেট করা হলো,2
21, আপনার সন্তানকে কোভিড-১৯ এর টিকা দেওয়া গুরুত্বপূর্ণ ,0
22, আপনার সন্তার উপবৃত্তির জন্য নির্বাচিত হয়েছে। উজবৃত্তির ফুল টাকা পেতে এই নম্বরে ১০০০ টাকা বিকাশ করুন,1
23, আমাদের অ্যাপ এ আছে কাশ অন ডেলিভারির সুবিধা।,0
24," আসসালামু আলাইকুম স্যার। রেজিষ্ট্রেশন লিংক তো কাজ করে না। আমি স্যার বিকাল থেকে চেষ্টা করেছি। রাজ স্যার বললো, সন্ধ্যার নাকি রেজিষ্ট্রেশন শেষ হয়ে গেসে। আমি তো ইমেলটাই পেয়েছি বিকালে দিকে। এখন কি করতে পারি  স্যার। জানালে উপকৃত হবো। ধন্যবাদ স্যার।
",3
25, ইকুরিয়ার থেকে আপনার পার্সেলটি রিসিভ করা হয়েছে ভেলিভারি জন্য অতিদ্রুত কল করা হবে।,3
26, ঈদ ধামাকা! সব পণ্যে ২০% অফার পেতে নিচের কূপন কোডটি ব্যাবহার করুন।,4
27, এক মাসের মধ্যে ইংরেজি কোর্সে দক্ষতা অর্জন করুন।,4
28, একাদশ -দ্বাদশ ও নবম -দশম শ্রেনীর মানবিক বিষয় কোচিং এ পড়ানোর জন্য শিক্ষক প্রয়োজন।,3
29, কপি পেস্ট করে ইনকাম । এখনই রেজিস্ট্রেশন করুন ।,1
30," কোড: M25 ব্যবহারে বুঝেনিন গিফট! 🤩
",1
31, খাবার হাতে পেয়ে পেমেন্ট করুন। ,3
32, খাবার হাতে পেয়ে পেমেন্ট করুন। ,2
33, খাবার হাতে পেয়ে পেমেন্ট করুন। ,2
34," চীন: ইউক্রেন যুদ্ধের ‘প্রধান উসকানিদাতা’ যুক্তরাষ্ট্ম স্কোতে নিযুক্ত চীনা রাষ্ট্রদূত ঝাং হানহুই যুক্তরাষ্ট্রকে অভিযুক্ত করে বলেছেন, জো বাইডেনের দেশই ইউক্রেন যুদ্ধের ‘প্রধান উসকানিদাতা’। ওয়াশিংটন রাশিয়াকে চূর্ণ-বিচূর্ণ করে ফেলতে চায়, এ লক্ষ্যেই তারা যুদ্ধের সূচনা করেছে। খবর আল জাজিরা।",2
35, জরুরি এই সময়ে বাজার সদাই নিয়ে ভাবছেন? 🛒🛍️,4
36, টুইটারে আপনার কাছে থাকা বিজ্ঞপ্তিগুলি দেখুন,5
37, ডিজিটাল বিপণনই সবচেয়ে বড় অস্ত্র,2
38, ডিজিটাল বিপণনই সবচেয়ে বড় অস্ত্র,2
39, তালাল আল মুরাদকে 3 বছর ধরে অভিনন্দন জানাই...,5
40, দারাজ অ্যাপ থেকে ঈদ শপিং করলে আপনি পাচ্ছেন ৬০% ছাড় ।,0
41," দারুন অফার!! মাত্র ৳২.৬৭/দিন /প্রশ্ন | সহজ কিছু প্রশ্নের উত্তর দিন আর জিতে নিন স্যামসাং গ্যালাক্সি M31 মোবাইল, প্রশ্ন পেতে ডায়াল *213*33033#",1
